Date,MONTH,Product,Category,Sales Representative,City,No. of Units,Price,Amount
10-10-2021,October,HP Envy x360,Phone,Krish,Bangalore,13,1135,14755
17-05-2021,May,OnePlus Buds,Phone,Aryan,Delhi,43,608,26144
07-12-2021,December,Dell XPS 13,Phone,Giana,Delhi,6,1431,8586
22-08-2021,August,HP Envy x360,Headphone,Tara,Delhi,41,1818,74538
16-11-2021,November,OnePlus Buds,Headphone,Giana,Cochin,46,1619,74474
11-08-2021,August,Dell XPS 13,Headphone,Kate,Delhi,3,1872,5616
02-01-2021,January,iPhone 11 Pro,Laptop,Krish,Cochin,48,338,16224
20-04-2021,April,Dell XPS 13,Laptop,Bruce,Bangalore,22,325,7150
23-03-2021,March,HP Envy x360,Headphone,Kate,Delhi,39,1544,60216
03-08-2021,August,iPhone 11 Pro,Headphone,Giana,Delhi,49,1339,65611
06-09-2021,September,OnePlus Buds,Laptop,Giana,Delhi,4,1520,6080
12-01-2021,January,iPhone 11 Pro,Headphone,Bruce,Delhi,18,1012,18216
11-08-2021,August,HP Envy x360,Headphone,Aryan,Delhi,40,263,10520
15-03-2021,March,iPhone 11 Pro,Phone,Bruce,Delhi,33,1695,55935
18-04-2021,April,Dell XPS 13,Phone,Krish,Mumbai,5,130,650
24-06-2021,June,OnePlus Buds,Laptop,Asif,Mumbai,39,449,17511
04-10-2021,October,Apple AirPods Pro,Laptop,Asif,Bangalore,13,886,11518
28-12-2021,December,HP Envy x360,Headphone,Bruce,Cochin,3,977,2931
20-07-2021,July,Dell XPS 13,Laptop,Bruce,Cochin,45,1444,64980
27-02-2021,February,Apple AirPods Pro,Headphone,Asif,Cochin,16,487,7792
14-12-2021,December,Dell XPS 13,Phone,Aryan,Mumbai,21,1131,23751
16-11-2021,November,HP Envy x360,Phone,Giana,Cochin,27,1525,41175
01-09-2021,September,Dell XPS 13,Laptop,Giana,Mumbai,39,1356,52884
20-06-2021,June,Apple AirPods Pro,Laptop,Tara,Cochin,7,1724,12068
24-07-2021,July,OnePlus Buds,Headphone,Asif,Mumbai,42,963,40446
07-01-2021,January,iPhone 11 Pro,Laptop,Bruce,Cochin,28,1003,28084
24-02-2021,February,Apple AirPods Pro,Headphone,Bruce,Delhi,36,410,14760
17-03-2021,March,HP Envy x360,Laptop,Giana,Bangalore,49,1236,60564
20-02-2021,February,HP Envy x360,Headphone,Giana,Cochin,10,263,2630
08-06-2021,June,OnePlus Buds,Laptop,Tara,Delhi,47,200,9400
26-10-2021,October,OnePlus Buds,Headphone,Bruce,Bangalore,34,388,13192
04-06-2021,June,OnePlus Buds,Phone,Tara,Bangalore,11,1043,11473
22-12-2021,December,Dell XPS 13,Headphone,Bruce,Delhi,23,454,10442
24-01-2021,January,HP Envy x360,Phone,Krish,Cochin,43,258,11094
21-02-2021,February,HP Envy x360,Headphone,Tara,Cochin,48,1705,81840
17-03-2021,March,HP Envy x360,Headphone,Krish,Cochin,17,924,15708
05-11-2021,November,Dell XPS 13,Phone,Asif,Mumbai,37,956,35372
05-05-2021,May,OnePlus Buds,Laptop,Kate,Mumbai,44,1077,47388
21-04-2021,April,OnePlus Buds,Laptop,Krish,Cochin,42,1493,62706
20-04-2021,April,Apple AirPods Pro,Phone,Giana,Cochin,44,1444,63536
17-10-2021,October,OnePlus Buds,Laptop,Giana,Delhi,9,544,4896
04-05-2021,May,Apple AirPods Pro,Headphone,Giana,Delhi,3,1657,4971
13-01-2021,January,HP Envy x360,Laptop,Asif,Mumbai,14,979,13706
21-09-2021,September,iPhone 11 Pro,Laptop,Kate,Delhi,43,680,29240
23-05-2021,May,HP Envy x360,Phone,Asif,Bangalore,31,1515,46965
03-02-2021,February,Dell XPS 13,Headphone,Aryan,Delhi,4,980,3920
21-04-2021,April,OnePlus Buds,Headphone,Bruce,Bangalore,44,1073,47212
26-12-2021,December,iPhone 11 Pro,Headphone,Krish,Delhi,46,335,15410
09-08-2021,August,Dell XPS 13,Headphone,Asif,Cochin,41,745,30545
24-12-2021,December,Dell XPS 13,Headphone,Tara,Cochin,8,1426,11408
16-07-2021,July,HP Envy x360,Phone,Asif,Bangalore,36,731,26316
21-05-2021,May,Dell XPS 13,Phone,Kate,Bangalore,18,1670,30060
18-08-2021,August,OnePlus Buds,Phone,Tara,Delhi,42,1181,49602
08-02-2021,February,OnePlus Buds,Phone,Giana,Delhi,18,1928,34704
24-07-2021,July,Apple AirPods Pro,Phone,Giana,Cochin,29,476,13804
16-06-2021,June,HP Envy x360,Laptop,Aryan,Mumbai,46,503,23138
02-06-2021,June,OnePlus Buds,Headphone,Aryan,Mumbai,40,1046,41840
13-07-2021,July,iPhone 11 Pro,Laptop,Kate,Cochin,48,1056,50688
03-06-2021,June,HP Envy x360,Laptop,Krish,Delhi,42,305,12810
30-08-2021,August,OnePlus Buds,Laptop,Aryan,Bangalore,10,166,1660
26-02-2021,February,Dell XPS 13,Laptop,Giana,Delhi,27,448,12096
05-05-2021,May,OnePlus Buds,Phone,Bruce,Mumbai,36,1545,55620
05-12-2021,December,iPhone 11 Pro,Phone,Aryan,Bangalore,48,340,16320
14-11-2021,November,OnePlus Buds,Laptop,Aryan,Delhi,18,1304,23472
06-08-2021,August,Dell XPS 13,Laptop,Bruce,Mumbai,26,1971,51246
03-02-2021,February,Apple AirPods Pro,Headphone,Aryan,Bangalore,14,258,3612
02-06-2021,June,iPhone 11 Pro,Laptop,Asif,Cochin,28,970,27160
21-01-2021,January,HP Envy x360,Laptop,Asif,Bangalore,5,1140,5700
10-12-2021,December,Dell XPS 13,Laptop,Asif,Bangalore,30,1730,51900
19-03-2021,March,iPhone 11 Pro,Laptop,Aryan,Bangalore,5,205,1025
31-05-2021,May,HP Envy x360,Headphone,Bruce,Mumbai,27,100,2700
28-06-2021,June,iPhone 11 Pro,Laptop,Giana,Delhi,28,320,8960
07-10-2021,October,HP Envy x360,Phone,Bruce,Bangalore,47,1137,53439
04-04-2021,April,OnePlus Buds,Headphone,Krish,Bangalore,25,1852,46300
11-06-2021,June,Apple AirPods Pro,Headphone,Aryan,Cochin,24,281,6744
08-06-2021,June,OnePlus Buds,Laptop,Aryan,Delhi,19,1384,26296
16-03-2021,March,HP Envy x360,Laptop,Krish,Mumbai,30,1803,54090
09-03-2021,March,HP Envy x360,Phone,Krish,Mumbai,26,362,9412
19-05-2021,May,OnePlus Buds,Laptop,Tara,Bangalore,17,188,3196
23-12-2021,December,OnePlus Buds,Headphone,Asif,Delhi,35,1391,48685
14-10-2021,October,Dell XPS 13,Laptop,Asif,Cochin,48,1496,71808
06-11-2021,November,Dell XPS 13,Laptop,Aryan,Cochin,7,1743,12201
11-10-2021,October,HP Envy x360,Headphone,Kate,Cochin,7,1050,7350
20-10-2021,October,iPhone 11 Pro,Laptop,Krish,Mumbai,49,809,39641
25-11-2021,November,iPhone 11 Pro,Laptop,Aryan,Mumbai,17,1361,23137
17-07-2021,July,Dell XPS 13,Phone,Bruce,Delhi,27,1820,49140
12-07-2021,July,HP Envy x360,Phone,Krish,Bangalore,39,1020,39780
12-11-2021,November,Dell XPS 13,Phone,Krish,Delhi,40,1184,47360
23-10-2021,October,OnePlus Buds,Phone,Giana,Delhi,41,1845,75645
09-03-2021,March,Apple AirPods Pro,Laptop,Giana,Bangalore,1,387,387
03-05-2021,May,Apple AirPods Pro,Laptop,Kate,Mumbai,49,624,30576
18-02-2021,February,Apple AirPods Pro,Laptop,Asif,Mumbai,7,1615,11305
23-06-2021,June,Apple AirPods Pro,Phone,Bruce,Delhi,40,1798,71920
24-11-2021,November,OnePlus Buds,Headphone,Tara,Cochin,15,725,10875
10-05-2021,May,HP Envy x360,Phone,Aryan,Cochin,1,425,425
19-09-2021,September,iPhone 11 Pro,Laptop,Tara,Delhi,27,1894,51138
03-09-2021,September,Apple AirPods Pro,Headphone,Krish,Delhi,33,979,32307
04-09-2021,September,Dell XPS 13,Laptop,Tara,Cochin,10,1380,13800
11-02-2021,February,OnePlus Buds,Headphone,Krish,Delhi,17,1756,29852
14-03-2021,March,Apple AirPods Pro,Laptop,Kate,Cochin,9,1813,16317
26-07-2021,July,OnePlus Buds,Phone,Kate,Bangalore,38,1690,64220
04-08-2021,August,HP Envy x360,Phone,Krish,Mumbai,10,1646,16460
24-10-2021,October,OnePlus Buds,Phone,Tara,Cochin,11,921,10131
26-12-2021,December,HP Envy x360,Laptop,Bruce,Delhi,35,1295,45325
15-12-2021,December,HP Envy x360,Phone,Krish,Delhi,28,1190,33320
29-03-2021,March,OnePlus Buds,Laptop,Tara,Delhi,22,397,8734
20-10-2021,October,OnePlus Buds,Headphone,Tara,Delhi,22,1231,27082
18-05-2021,May,Dell XPS 13,Phone,Bruce,Bangalore,15,1287,19305
15-08-2021,August,HP Envy x360,Laptop,Asif,Mumbai,14,296,4144
21-02-2021,February,OnePlus Buds,Phone,Krish,Delhi,25,203,5075
08-08-2021,August,HP Envy x360,Headphone,Tara,Mumbai,23,1688,38824
04-03-2021,March,iPhone 11 Pro,Headphone,Aryan,Bangalore,6,1872,11232
16-05-2021,May,HP Envy x360,Phone,Tara,Delhi,10,1899,18990
16-01-2021,January,Dell XPS 13,Headphone,Kate,Cochin,31,1003,31093
02-05-2021,May,iPhone 11 Pro,Headphone,Asif,Bangalore,5,1226,6130
22-08-2021,August,Dell XPS 13,Headphone,Asif,Cochin,43,755,32465
27-04-2021,April,iPhone 11 Pro,Laptop,Bruce,Bangalore,13,652,8476
23-05-2021,May,HP Envy x360,Laptop,Bruce,Bangalore,40,1172,46880
09-06-2021,June,Dell XPS 13,Headphone,Tara,Bangalore,39,1180,46020
05-07-2021,July,Apple AirPods Pro,Phone,Kate,Delhi,18,1057,19026
30-09-2021,September,Dell XPS 13,Headphone,Giana,Cochin,27,413,11151
06-08-2021,August,OnePlus Buds,Phone,Kate,Mumbai,20,187,3740
09-08-2021,August,iPhone 11 Pro,Headphone,Giana,Cochin,49,1224,59976
30-03-2021,March,HP Envy x360,Laptop,Aryan,Cochin,28,1531,42868
08-01-2021,January,OnePlus Buds,Phone,Krish,Mumbai,10,693,6930
30-08-2021,August,OnePlus Buds,Laptop,Aryan,Bangalore,1,948,948
14-06-2021,June,iPhone 11 Pro,Laptop,Kate,Delhi,34,1395,47430
18-02-2021,February,HP Envy x360,Phone,Krish,Bangalore,30,539,16170
26-12-2021,December,iPhone 11 Pro,Phone,Asif,Cochin,2,585,1170
30-04-2021,April,iPhone 11 Pro,Headphone,Kate,Bangalore,43,724,31132
10-05-2021,May,Dell XPS 13,Laptop,Kate,Delhi,4,939,3756
23-02-2021,February,iPhone 11 Pro,Phone,Krish,Delhi,36,1760,63360
13-12-2021,December,HP Envy x360,Laptop,Aryan,Bangalore,12,1750,21000
07-05-2021,May,HP Envy x360,Phone,Asif,Mumbai,19,812,15428
16-10-2021,October,HP Envy x360,Phone,Krish,Cochin,31,1219,37789
05-04-2021,April,Apple AirPods Pro,Headphone,Giana,Mumbai,32,1646,52672
25-03-2021,March,HP Envy x360,Phone,Aryan,Mumbai,18,950,17100
21-10-2021,October,HP Envy x360,Phone,Tara,Cochin,25,1872,46800
11-07-2021,July,Apple AirPods Pro,Phone,Aryan,Delhi,45,801,36045
20-03-2021,March,Apple AirPods Pro,Phone,Tara,Cochin,18,1533,27594
08-08-2021,August,Dell XPS 13,Laptop,Krish,Bangalore,12,224,2688
14-04-2021,April,OnePlus Buds,Headphone,Bruce,Bangalore,31,869,26939
25-10-2021,October,iPhone 11 Pro,Phone,Krish,Bangalore,17,1085,18445
13-12-2021,December,Dell XPS 13,Phone,Tara,Mumbai,14,715,10010
21-10-2021,October,HP Envy x360,Laptop,Bruce,Bangalore,34,667,22678
10-09-2021,September,iPhone 11 Pro,Headphone,Kate,Bangalore,10,593,5930
06-04-2021,April,iPhone 11 Pro,Headphone,Krish,Mumbai,42,1268,53256
12-02-2021,February,HP Envy x360,Headphone,Tara,Bangalore,48,733,35184
12-09-2021,September,OnePlus Buds,Laptop,Kate,Mumbai,18,1726,31068
18-04-2021,April,Apple AirPods Pro,Laptop,Krish,Cochin,42,182,7644
11-09-2021,September,Apple AirPods Pro,Laptop,Asif,Mumbai,27,1634,44118
08-05-2021,May,OnePlus Buds,Phone,Tara,Cochin,41,275,11275
23-02-2021,February,OnePlus Buds,Laptop,Asif,Bangalore,12,768,9216
11-05-2021,May,Dell XPS 13,Laptop,Krish,Cochin,8,1335,10680
04-05-2021,May,Dell XPS 13,Phone,Giana,Delhi,31,1982,61442
19-02-2021,February,HP Envy x360,Laptop,Bruce,Cochin,6,359,2154
14-09-2021,September,HP Envy x360,Laptop,Giana,Delhi,35,1858,65030
27-09-2021,September,Apple AirPods Pro,Headphone,Aryan,Cochin,15,1947,29205
08-09-2021,September,HP Envy x360,Laptop,Giana,Bangalore,6,1441,8646
24-11-2021,November,iPhone 11 Pro,Laptop,Tara,Cochin,25,1904,47600
11-10-2021,October,Dell XPS 13,Laptop,Krish,Cochin,6,1010,6060
10-08-2021,August,iPhone 11 Pro,Headphone,Kate,Mumbai,14,1663,23282
17-11-2021,November,iPhone 11 Pro,Headphone,Krish,Bangalore,12,1449,17388
03-11-2021,November,HP Envy x360,Laptop,Kate,Mumbai,46,1034,47564
04-09-2021,September,Apple AirPods Pro,Laptop,Bruce,Bangalore,2,1431,2862
10-08-2021,August,Apple AirPods Pro,Headphone,Kate,Mumbai,9,1104,9936
14-04-2021,April,Apple AirPods Pro,Phone,Tara,Delhi,45,1680,75600
26-02-2021,February,Dell XPS 13,Headphone,Aryan,Mumbai,27,890,24030
08-12-2021,December,Dell XPS 13,Headphone,Tara,Bangalore,3,231,693
01-11-2021,November,HP Envy x360,Headphone,Bruce,Delhi,3,1086,3258
05-06-2021,June,Apple AirPods Pro,Laptop,Giana,Cochin,1,1435,1435
24-10-2021,October,HP Envy x360,Headphone,Giana,Bangalore,21,1154,24234
12-10-2021,October,Apple AirPods Pro,Phone,Aryan,Cochin,50,1945,97250
18-04-2021,April,HP Envy x360,Phone,Giana,Bangalore,25,450,11250
15-06-2021,June,iPhone 11 Pro,Laptop,Bruce,Cochin,2,129,258
19-09-2021,September,Apple AirPods Pro,Phone,Krish,Delhi,21,561,11781
19-10-2021,October,HP Envy x360,Headphone,Kate,Bangalore,27,775,20925
09-05-2021,May,OnePlus Buds,Laptop,Tara,Delhi,43,1741,74863
15-07-2021,July,Apple AirPods Pro,Phone,Bruce,Bangalore,9,141,1269
03-02-2021,February,Dell XPS 13,Headphone,Asif,Mumbai,32,145,4640
19-10-2021,October,OnePlus Buds,Laptop,Asif,Delhi,41,938,38458
18-07-2021,July,Apple AirPods Pro,Phone,Bruce,Delhi,11,1845,20295
09-11-2021,November,OnePlus Buds,Headphone,Kate,Delhi,32,998,31936
04-02-2021,February,Dell XPS 13,Headphone,Aryan,Mumbai,14,1363,19082
11-07-2021,July,Dell XPS 13,Phone,Kate,Bangalore,9,1416,12744
15-04-2021,April,HP Envy x360,Headphone,Aryan,Bangalore,27,253,6831
31-10-2021,October,iPhone 11 Pro,Headphone,Asif,Cochin,43,1519,65317
11-12-2021,December,OnePlus Buds,Phone,Aryan,Bangalore,12,869,10428
30-05-2021,May,Apple AirPods Pro,Phone,Bruce,Cochin,31,979,30349
28-06-2021,June,HP Envy x360,Headphone,Tara,Mumbai,42,319,13398
08-02-2021,February,HP Envy x360,Laptop,Bruce,Delhi,24,430,10320
02-11-2021,November,Dell XPS 13,Headphone,Krish,Cochin,11,596,6556
01-08-2021,August,OnePlus Buds,Headphone,Giana,Cochin,45,753,33885
31-08-2021,August,HP Envy x360,Phone,Asif,Delhi,36,1969,70884
15-08-2021,August,Dell XPS 13,Laptop,Asif,Bangalore,32,1412,45184
20-01-2021,January,Apple AirPods Pro,Laptop,Aryan,Cochin,17,1188,20196
11-07-2021,July,HP Envy x360,Headphone,Tara,Bangalore,32,1788,57216
15-06-2021,June,OnePlus Buds,Headphone,Asif,Delhi,1,1688,1688
08-09-2021,September,OnePlus Buds,Headphone,Bruce,Cochin,34,278,9452
23-05-2021,May,Dell XPS 13,Laptop,Krish,Bangalore,6,529,3174
04-08-2021,August,Apple AirPods Pro,Laptop,Aryan,Bangalore,36,1531,55116
30-09-2021,September,OnePlus Buds,Laptop,Krish,Mumbai,38,1886,71668
30-03-2021,March,HP Envy x360,Headphone,Aryan,Bangalore,32,1057,33824
25-03-2021,March,HP Envy x360,Phone,Kate,Mumbai,33,1515,49995
13-12-2021,December,Apple AirPods Pro,Laptop,Krish,Mumbai,35,312,10920
15-10-2021,October,iPhone 11 Pro,Phone,Asif,Mumbai,22,680,14960
16-02-2021,February,Apple AirPods Pro,Phone,Krish,Cochin,21,1342,28182
23-10-2021,October,iPhone 11 Pro,Headphone,Kate,Cochin,48,1131,54288
21-04-2021,April,Dell XPS 13,Phone,Krish,Bangalore,36,1716,61776
11-02-2021,February,Apple AirPods Pro,Phone,Bruce,Mumbai,34,1190,40460
28-07-2021,July,iPhone 11 Pro,Laptop,Aryan,Cochin,6,260,1560
18-05-2021,May,iPhone 11 Pro,Laptop,Aryan,Cochin,45,181,8145
14-01-2021,January,Apple AirPods Pro,Phone,Tara,Mumbai,17,516,8772
18-10-2021,October,OnePlus Buds,Laptop,Tara,Bangalore,41,1233,50553
13-08-2021,August,OnePlus Buds,Phone,Giana,Delhi,41,1030,42230
15-10-2021,October,OnePlus Buds,Laptop,Krish,Cochin,4,150,600
23-09-2021,September,OnePlus Buds,Headphone,Krish,Cochin,49,1308,64092
16-02-2021,February,iPhone 11 Pro,Laptop,Aryan,Bangalore,1,347,347
25-04-2021,April,Dell XPS 13,Headphone,Bruce,Bangalore,6,225,1350
15-04-2021,April,Apple AirPods Pro,Headphone,Tara,Mumbai,6,408,2448
14-12-2021,December,iPhone 11 Pro,Phone,Tara,Mumbai,34,1594,54196
16-06-2021,June,Dell XPS 13,Laptop,Aryan,Delhi,13,581,7553
10-12-2021,December,iPhone 11 Pro,Phone,Krish,Delhi,50,1132,56600
21-05-2021,May,Dell XPS 13,Laptop,Aryan,Cochin,26,772,20072
12-10-2021,October,OnePlus Buds,Headphone,Krish,Bangalore,39,1963,76557
22-10-2021,October,OnePlus Buds,Headphone,Aryan,Cochin,46,1372,63112
18-05-2021,May,OnePlus Buds,Headphone,Tara,Delhi,21,449,9429
14-02-2021,February,Dell XPS 13,Phone,Kate,Bangalore,6,1878,11268
11-02-2021,February,iPhone 11 Pro,Laptop,Asif,Cochin,28,1262,35336
12-03-2021,March,Apple AirPods Pro,Headphone,Tara,Delhi,35,170,5950
16-09-2021,September,Dell XPS 13,Headphone,Giana,Delhi,15,1699,25485
26-11-2021,November,iPhone 11 Pro,Phone,Krish,Delhi,13,636,8268
03-11-2021,November,OnePlus Buds,Phone,Bruce,Cochin,48,1667,80016
22-03-2021,March,iPhone 11 Pro,Headphone,Giana,Bangalore,22,1787,39314
27-04-2021,April,OnePlus Buds,Phone,Giana,Cochin,28,492,13776
25-02-2021,February,HP Envy x360,Phone,Bruce,Cochin,39,328,12792
22-09-2021,September,iPhone 11 Pro,Headphone,Asif,Cochin,11,712,7832
08-03-2021,March,iPhone 11 Pro,Phone,Tara,Cochin,13,880,11440
08-11-2021,November,OnePlus Buds,Phone,Tara,Mumbai,12,451,5412
19-06-2021,June,Apple AirPods Pro,Laptop,Kate,Mumbai,37,1122,41514
27-02-2021,February,Apple AirPods Pro,Phone,Asif,Mumbai,15,1116,16740
22-07-2021,July,OnePlus Buds,Phone,Tara,Mumbai,25,189,4725
23-12-2021,December,HP Envy x360,Headphone,Kate,Delhi,44,731,32164
17-10-2021,October,iPhone 11 Pro,Headphone,Kate,Cochin,10,1662,16620
10-12-2021,December,HP Envy x360,Phone,Aryan,Delhi,6,671,4026
27-11-2021,November,Dell XPS 13,Laptop,Krish,Mumbai,44,1916,84304
13-12-2021,December,iPhone 11 Pro,Headphone,Aryan,Delhi,39,1441,56199
07-12-2021,December,Dell XPS 13,Laptop,Kate,Cochin,39,810,31590
27-05-2021,May,Apple AirPods Pro,Phone,Aryan,Cochin,2,1701,3402
26-08-2021,August,iPhone 11 Pro,Phone,Tara,Mumbai,22,175,3850
13-12-2021,December,Dell XPS 13,Laptop,Kate,Delhi,20,1122,22440
12-12-2021,December,HP Envy x360,Laptop,Asif,Bangalore,7,199,1393
06-10-2021,October,HP Envy x360,Headphone,Giana,Delhi,11,616,6776
12-11-2021,November,Dell XPS 13,Headphone,Asif,Delhi,38,1394,52972
22-08-2021,August,HP Envy x360,Phone,Krish,Delhi,4,1975,7900
08-09-2021,September,iPhone 11 Pro,Phone,Tara,Delhi,20,1161,23220
19-02-2021,February,HP Envy x360,Headphone,Bruce,Delhi,17,1664,28288
12-10-2021,October,iPhone 11 Pro,Headphone,Tara,Delhi,2,2000,4000
08-07-2021,July,HP Envy x360,Headphone,Krish,Bangalore,20,1784,35680
15-02-2021,February,OnePlus Buds,Laptop,Aryan,Cochin,16,1940,31040
31-08-2021,August,OnePlus Buds,Phone,Giana,Cochin,44,789,34716
17-01-2021,January,OnePlus Buds,Laptop,Krish,Mumbai,29,259,7511
11-08-2021,August,Apple AirPods Pro,Headphone,Krish,Mumbai,27,897,24219
04-01-2021,January,Apple AirPods Pro,Laptop,Aryan,Cochin,17,1598,27166
28-10-2021,October,iPhone 11 Pro,Phone,Aryan,Bangalore,49,340,16660
19-07-2021,July,OnePlus Buds,Headphone,Aryan,Delhi,49,202,9898
16-11-2021,November,OnePlus Buds,Headphone,Tara,Mumbai,16,546,8736
29-01-2021,January,Dell XPS 13,Laptop,Aryan,Cochin,27,652,17604
14-11-2021,November,HP Envy x360,Phone,Kate,Cochin,22,1486,32692
08-04-2021,April,Apple AirPods Pro,Laptop,Giana,Delhi,48,1578,75744
26-10-2021,October,OnePlus Buds,Laptop,Krish,Cochin,34,889,30226
20-05-2021,May,iPhone 11 Pro,Phone,Bruce,Delhi,46,1720,79120
10-11-2021,November,Dell XPS 13,Headphone,Bruce,Mumbai,45,947,42615
29-07-2021,July,HP Envy x360,Phone,Bruce,Bangalore,50,201,10050
04-03-2021,March,HP Envy x360,Headphone,Krish,Bangalore,14,486,6804
05-08-2021,August,Apple AirPods Pro,Phone,Krish,Cochin,40,245,9800
03-10-2021,October,Dell XPS 13,Laptop,Bruce,Bangalore,36,578,20808
02-06-2021,June,OnePlus Buds,Phone,Aryan,Cochin,28,1196,33488
22-10-2021,October,HP Envy x360,Laptop,Krish,Mumbai,45,126,5670
01-08-2021,August,Apple AirPods Pro,Laptop,Krish,Cochin,49,1366,66934
13-06-2021,June,Apple AirPods Pro,Phone,Aryan,Bangalore,16,209,3344
11-10-2021,October,HP Envy x360,Phone,Asif,Delhi,48,1266,60768
22-12-2021,December,Apple AirPods Pro,Phone,Asif,Bangalore,39,1810,70590
03-12-2021,December,OnePlus Buds,Phone,Asif,Mumbai,4,569,2276
22-08-2021,August,HP Envy x360,Laptop,Krish,Bangalore,26,1737,45162
14-07-2021,July,HP Envy x360,Headphone,Bruce,Delhi,46,1775,81650
08-10-2021,October,Apple AirPods Pro,Laptop,Giana,Bangalore,42,930,39060
18-02-2021,February,Apple AirPods Pro,Headphone,Aryan,Delhi,46,452,20792
22-11-2021,November,HP Envy x360,Laptop,Krish,Bangalore,19,1016,19304
08-04-2021,April,OnePlus Buds,Headphone,Giana,Delhi,19,1757,33383
20-04-2021,April,OnePlus Buds,Laptop,Tara,Cochin,35,1141,39935
26-03-2021,March,Apple AirPods Pro,Laptop,Asif,Cochin,38,903,34314
29-01-2021,January,OnePlus Buds,Phone,Krish,Cochin,37,558,20646
29-07-2021,July,HP Envy x360,Headphone,Krish,Cochin,15,408,6120
01-10-2021,October,iPhone 11 Pro,Phone,Giana,Cochin,28,1427,39956
07-06-2021,June,OnePlus Buds,Phone,Giana,Bangalore,15,1306,19590
15-03-2021,March,iPhone 11 Pro,Headphone,Bruce,Delhi,6,233,1398
11-01-2021,January,Dell XPS 13,Laptop,Giana,Bangalore,1,340,340
